
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-04-21 10:43:29 /v1/models ................................. ~ 500.49ms
  2026-04-21 10:43:35 /v1/models ....................................... ~ 1s
  2026-04-21 10:43:41 /v1/models ....................................... ~ 1s
  2026-04-21 10:43:47 /v1/models ....................................... ~ 1s
  2026-04-21 10:43:53 /v1/models ....................................... ~ 1s
  2026-04-21 10:43:59 /v1/models ....................................... ~ 1s
  2026-04-21 10:44:05 /v1/models ....................................... ~ 1s
  2026-04-21 10:44:11 /v1/models ................................. ~ 500.63ms
  2026-04-21 10:44:17 /v1/models ................................. ~ 500.58ms
  2026-04-21 10:44:23 /v1/models ................................. ~ 500.78ms
  2026-04-21 10:44:29 /v1/models ....................................... ~ 1s
  2026-04-21 10:44:35 /v1/models ....................................... ~ 1s
  2026-04-21 10:44:42 /v1/models ................................. ~ 570.90ms
  2026-04-21 10:44:48 /v1/models ....................................... ~ 1s
  2026-04-21 10:44:54 /v1/models ....................................... ~ 1s
  2026-04-21 10:45:00 /v1/models ................................. ~ 544.65ms
  2026-04-21 10:45:05 /v1/models ................................. ~ 500.69ms
  2026-04-21 10:45:11 /v1/models ................................. ~ 500.56ms
  2026-04-21 10:45:17 /v1/models ................................. ~ 573.57ms
  2026-04-21 10:45:23 /v1/models ................................. ~ 500.57ms
  2026-04-21 10:45:29 /v1/models ................................. ~ 500.76ms
  2026-04-21 10:45:35 /v1/models ....................................... ~ 1s
  2026-04-21 10:45:41 /v1/models ................................. ~ 500.58ms
  2026-04-21 10:45:47 /v1/models ................................. ~ 500.51ms
  2026-04-21 10:45:53 /v1/models ................................. ~ 522.87ms
  2026-04-21 10:45:59 /v1/models ................................. ~ 500.65ms
  2026-04-21 10:46:05 /v1/models ................................. ~ 507.69ms
  2026-04-21 10:46:11 /v1/models ................................. ~ 574.57ms
  2026-04-21 10:46:17 /v1/models ................................. ~ 500.60ms
  2026-04-21 10:46:23 /v1/models ....................................... ~ 1s
  2026-04-21 10:46:29 /v1/models ................................. ~ 500.53ms
  2026-04-21 10:46:35 /v1/models ....................................... ~ 1s
  2026-04-21 10:46:41 /v1/models ................................. ~ 500.73ms
  2026-04-21 10:46:47 /v1/models ................................. ~ 500.54ms
  2026-04-21 10:46:53 /v1/models ................................. ~ 500.78ms
  2026-04-21 10:46:59 /v1/models ....................................... ~ 1s
  2026-04-21 10:47:06 /v1/models ................................. ~ 500.70ms
  2026-04-21 10:47:12 /v1/models ....................................... ~ 1s
  2026-04-21 10:47:18 /v1/models ....................................... ~ 1s
  2026-04-21 10:47:24 /v1/models ................................. ~ 500.74ms
  2026-04-21 10:47:30 /v1/models ....................................... ~ 1s
  2026-04-21 10:47:37 /v1/models ................................. ~ 577.42ms
  2026-04-21 10:47:43 /v1/models ................................. ~ 500.84ms
  2026-04-21 10:47:49 /v1/models ................................. ~ 503.80ms
  2026-04-21 10:47:55 /v1/models ................................. ~ 500.69ms
  2026-04-21 10:48:01 /v1/models ................................. ~ 500.97ms
  2026-04-21 10:48:07 /v1/models ................................. ~ 594.30ms
  2026-04-21 10:48:13 /v1/models ................................. ~ 514.03ms
  2026-04-21 10:48:19 /v1/models ................................. ~ 569.08ms
  2026-04-21 10:48:26 /v1/models ................................. ~ 599.95ms
  2026-04-21 10:48:32 /v1/models ....................................... ~ 1s
  2026-04-21 10:48:38 /v1/models ....................................... ~ 1s
  2026-04-21 10:48:46 /v1/models ....................................... ~ 1s
  2026-04-21 10:48:52 /v1/models ....................................... ~ 1s
  2026-04-21 10:48:59 /v1/models ................................. ~ 547.33ms
  2026-04-21 10:49:05 /v1/models ....................................... ~ 1s
  2026-04-21 10:49:12 /v1/models ................................. ~ 575.49ms
  2026-04-21 10:49:18 /v1/models ................................. ~ 572.70ms
  2026-04-21 10:49:24 /v1/models ................................. ~ 584.90ms
  2026-04-21 10:49:30 /v1/models ....................................... ~ 1s
  2026-04-21 10:49:36 /v1/models ................................. ~ 502.33ms
  2026-04-21 10:49:42 /v1/models ....................................... ~ 1s
  2026-04-21 10:49:48 /v1/models ................................. ~ 500.61ms
  2026-04-21 10:49:54 /v1/models ................................. ~ 500.99ms
  2026-04-21 10:50:00 /v1/models ................................. ~ 500.55ms
  2026-04-21 10:50:05 /v1/models ....................................... ~ 1s
  2026-04-21 10:50:11 /v1/models ................................. ~ 500.58ms
  2026-04-21 10:50:16 /v1/models ................................. ~ 575.12ms
  2026-04-21 10:50:22 /v1/models ................................. ~ 500.73ms
  2026-04-21 10:50:27 /v1/models ....................................... ~ 1s
  2026-04-21 10:50:33 /v1/models ................................. ~ 574.52ms
  2026-04-21 10:50:39 /v1/models ................................. ~ 500.56ms
  2026-04-21 10:50:44 /v1/models ................................. ~ 500.50ms
  2026-04-21 10:50:50 /v1/models ................................. ~ 500.76ms
  2026-04-21 10:50:56 /v1/models .................................. ~ 72.85ms
  2026-04-21 10:51:01 /v1/models ................................. ~ 500.77ms
  2026-04-21 10:51:07 /v1/models ....................................... ~ 2s
  2026-04-21 10:51:14 /v1/models ....................................... ~ 1s
  2026-04-21 10:51:21 /v1/models ................................. ~ 578.63ms
  2026-04-21 10:51:27 /v1/models ................................. ~ 503.15ms
  2026-04-21 10:51:33 /v1/models ................................. ~ 500.78ms
  2026-04-21 10:51:38 /v1/models ................................. ~ 517.99ms
